index,id0,id1,id2,id3,id4,id5,id6,id7,id8,id9
0,0.702346,0.0946182,0.5907344,0.09687504,0.8119971,0.6020911,0.98012173,0.24574584,0.63995814,0.62532103
1,0.6995455,0.085503936,0.5956224,0.098401606,0.8098272,0.6007814,0.9818533,0.23831457,0.64131904,0.6204289
2,0.7006085,0.09193957,0.5959199,0.10222742,0.80820674,0.59950596,0.9818051,0.22584891,0.64131916,0.61517984
3,0.7041376,0.09639454,0.6011756,0.10925409,0.81030595,0.60353315,0.9779973,0.2233212,0.6430295,0.6197908
4,0.7052447,0.09472269,0.6116687,0.13643849,0.8165683,0.60421616,0.9810209,0.23814553,0.643891,0.6210805
5,0.7070261,0.09522283,0.6184533,0.15233785,0.8250848,0.6066283,0.9771343,0.26330948,0.64157933,0.62781584
6,0.7089186,0.09040862,0.6238089,0.18202332,0.83452207,0.6074324,0.9817327,0.29719174,0.64475864,0.63268673
7,0.7096077,0.09249619,0.62775856,0.18854159,0.8415725,0.60791373,0.9847316,0.31056747,0.6428384,0.63826025
8,0.7056152,0.09179419,0.6397339,0.21529847,0.8195061,0.60761833,0.98364025,0.29745126,0.635892,0.6437142
9,0.7045442,0.09365356,0.63942057,0.21093744,0.81746095,0.6078474,0.98359513,0.3001817,0.63696665,0.64194417
10,0.7058566,0.09125477,0.64541614,0.2224051,0.81847405,0.6071942,0.9835487,0.32879195,0.63565993,0.6440314
11,0.7103793,0.09114015,0.65153277,0.22089672,0.82003653,0.6064147,0.98210293,0.35536158,0.63796794,0.6480729
12,0.7111786,0.092050165,0.65697,0.22722125,0.8177936,0.6075421,0.9788077,0.40737534,0.64431274,0.6458521
13,0.7123634,0.09117076,0.6619889,0.24931541,0.81963724,0.60873914,0.9783147,0.4529291,0.6720481,0.64787257
14,0.71302736,0.09068635,0.6645001,0.33103663,0.8163445,0.6088866,0.97165847,0.49812755,0.71981996,0.64975893
15,0.7159053,0.07783741,0.671198,0.39646816,0.820683,0.6060634,0.96868277,0.5230886,0.75664455,0.6512977
16,0.71155757,0.063520044,0.67339605,0.42806244,0.8161183,0.61095315,0.96766996,0.57423526,0.79593354,0.6530887
17,0.7122865,0.04314542,0.676607,0.46593964,0.81776845,0.6078957,0.9695635,0.55625254,0.8127623,0.6521236
18,0.7122407,0.034680277,0.6808247,0.5327392,0.81711996,0.6132419,0.96853215,0.52911717,0.8207942,0.65334374
19,0.7134591,0.042462796,0.6834837,0.5329409,0.8165424,0.61309475,0.9695275,0.45378134,0.8261579,0.6566285
20,0.710896,0.052348167,0.6896777,0.43073523,0.817466,0.6168512,0.9660249,0.3663444,0.82283294,0.6581185
21,0.7129598,0.053218275,0.69840324,0.2588203,0.82135165,0.61811376,0.96364546,0.29830414,0.82094073,0.6586831
22,0.71181333,0.058625787,0.7014529,0.15892678,0.8184204,0.62183934,0.9607183,0.26623136,0.8217955,0.6611635
23,0.71647906,0.066173255,0.70008963,0.14256084,0.8213225,0.61879563,0.9639151,0.2750129,0.8240756,0.659184
24,0.71847415,0.07119161,0.7104622,0.14027736,0.82187164,0.62078476,0.96347463,0.30061185,0.8228083,0.6621883
25,0.7220125,0.07976082,0.7121658,0.15457511,0.8195257,0.6191708,0.9649286,0.29597652,0.8262742,0.6606574
26,0.7216028,0.08876258,0.7147134,0.16547802,0.8172084,0.6188186,0.96172863,0.25915584,0.8320427,0.6637564
27,0.720162,0.08886662,0.7177194,0.1790849,0.8190847,0.6185902,0.9633533,0.24536526,0.8369906,0.6651753
28,0.7198915,0.09584659,0.7169839,0.22910449,0.81791127,0.61883366,0.96341044,0.27112782,0.836413,0.66579247
29,0.7212955,0.10473353,0.71174264,0.29072005,0.8133606,0.6171246,0.96651703,0.2711584,0.83429766,0.6641846
30,0.723243,0.112167954,0.71150404,0.32638374,0.8166738,0.622844,0.9654918,0.2658277,0.8285869,0.6651139
31,0.72062474,0.09934598,0.71538895,0.33005035,0.8093353,0.62731934,0.9695798,0.28777176,0.82989794,0.674217
32,0.73264927,0.07585549,0.7237351,0.28334308,0.81338775,0.61141634,0.96319467,0.26586974,0.832263,0.67175204
33,0.72693557,0.06485736,0.7217756,0.2164698,0.8415352,0.62043005,0.9662328,0.27229464,0.8337861,0.6733704
34,0.7258065,0.05850604,0.7223057,0.14368653,0.8508856,0.6241997,0.9746018,0.28571576,0.8323482,0.66630113
35,0.720912,0.05266288,0.7236839,0.1059477,0.8345373,0.62425756,0.9700082,0.27779517,0.83305895,0.6641012
36,0.7246628,0.04705727,0.71972394,0.09900677,0.8471183,0.6185777,0.9532123,0.27092993,0.8336066,0.66053575
37,0.7205337,0.04272142,0.72117984,0.12794283,0.80417025,0.62007254,0.959824,0.2729009,0.8367353,0.66867185
38,0.72189385,0.04283279,0.7216858,0.15170574,0.8125776,0.61197996,0.9553304,0.28253907,0.8343634,0.6724832
39,0.72995687,0.042083204,0.73175853,0.16184956,0.84397626,0.6211668,0.9601686,0.30001724,0.8348724,0.6680721
40,0.72426593,0.048966974,0.743015,0.16531092,0.8228832,0.643331,0.9666931,0.32858866,0.8430152,0.6846162
41,0.7332579,0.05431363,0.7370853,0.1494208,0.84814364,0.6348169,0.9605917,0.32392266,0.8437208,0.6742974
42,0.7337004,0.054225057,0.7126671,0.1692765,0.8261424,0.61412746,0.9591309,0.31783623,0.8424711,0.67887616
43,0.72174215,0.05673009,0.72454464,0.2546038,0.80207485,0.6089334,0.95503074,0.31278878,0.8487374,0.68943244
44,0.7167902,0.069577515,0.7414965,0.32729024,0.84859264,0.59860647,0.959447,0.31064993,0.8449343,0.67964965
45,0.73466724,0.09175235,0.7512366,0.3279951,0.84295315,0.6106079,0.9593017,0.3132841,0.84575725,0.6556653
46,0.7316599,0.101089776,0.7457925,0.31019127,0.83118933,0.62583774,0.95278096,0.31120473,0.8445068,0.6731916
47,0.71721256,0.094272405,0.7240668,0.29369748,0.8459598,0.63447833,0.9516791,0.3111531,0.8433636,0.7057991
48,0.7274167,0.08602083,0.7329974,0.30872655,0.8366613,0.64118624,0.957728,0.3248732,0.8434393,0.68676573
49,0.7354971,0.08119345,0.731049,0.25026095,0.8539129,0.63679945,0.94883335,0.33767635,0.84185517,0.69326544
50,0.74265975,0.07162869,0.739205,0.20183152,0.8494328,0.6306161,0.93298495,0.34195757,0.84257424,0.6954726
51,0.7394695,0.066595465,0.75152117,0.21781534,0.84046626,0.61439687,0.9238666,0.33310604,0.84001625,0.6785188
52,0.7337871,0.052045345,0.7530185,0.28087422,0.869843,0.60099876,0.9127631,0.3266382,0.8368373,0.6799048
53,0.72737515,0.048965454,0.7494013,0.32563776,0.86272085,0.6006811,0.8977781,0.3235116,0.8407788,0.689084
54,0.7295421,0.049587756,0.7396512,0.32536668,0.84795964,0.6130073,0.8777824,0.31610763,0.8604454,0.70515
55,0.72863775,0.052604377,0.72854084,0.29472977,0.8392902,0.6187044,0.84205604,0.32231796,0.86613256,0.7015933
56,0.72083634,0.053593338,0.7265603,0.28071207,0.82789075,0.62180084,0.8325595,0.32321241,0.84831583,0.71441
57,0.7104357,0.057148814,0.7389171,0.2899072,0.8398194,0.62195337,0.8154512,0.31893253,0.846019,0.6875841
58,0.71087146,0.06346983,0.7561287,0.2910537,0.8500188,0.6212322,0.790771,0.29846042,0.8518772,0.63492674
59,0.7135877,0.06756446,0.75586396,0.27545938,0.8209929,0.616631,0.7817949,0.28871942,0.848914,0.6238975
60,0.72015214,0.07118291,0.7511575,0.25006294,0.81320167,0.6124721,0.76756054,0.30199933,0.84775436,0.64800483
61,0.72394395,0.06418702,0.7412833,0.24871796,0.80940914,0.6112462,0.73547953,0.32884586,0.8421867,0.62169856
62,0.7283157,0.055176288,0.7372702,0.2609224,0.75599563,0.6142287,0.66889673,0.3447438,0.8367254,0.60566455
63,0.7249346,0.048587292,0.74947333,0.2810808,0.71919906,0.6167916,0.6189304,0.3415954,0.8288179,0.6502001
64,0.7321737,0.043911964,0.7435669,0.260255,0.7470773,0.6407536,0.55680424,0.33650482,0.831211,0.64170486
65,0.7252965,0.044823438,0.7544391,0.2704352,0.69375944,0.64167655,0.5676458,0.33130008,0.83758897,0.6250415
66,0.7167479,0.05067858,0.7525658,0.26260766,0.673071,0.63637257,0.59467566,0.33612815,0.84250945,0.63223803
67,0.71467626,0.05583349,0.74939394,0.27223277,0.71503556,0.63744694,0.56255436,0.33352613,0.84393144,0.65349483
